seat_num,Area,Points
859,80767.0,"[(503, 488), (256, 504), (99, 510), (22, 523), (477, 571), (748, 588), (1029, 604), (1211, 614), (1212, 560), (1130, 550), (1068, 532), (988, 508)]"
1473,192097.0,"[(197, 446), (141, 526), (95, 581), (13, 618), (232, 670), (350, 663), (343, 613), (610, 614), (634, 633), (1202, 520), (1202, 473), (1101, 459), (988, 438), (768, 390)]"
695,89078.5,"[(314, 504), (147, 544), (36, 570), (6, 565), (6, 602), (207, 600), (483, 605), (776, 598), (1050, 593), (1204, 583), (1206, 558), (914, 529), (806, 505)]"
2344,197124.0,"[(9, 494), (13, 653), (589, 623), (1204, 557), (1198, 489), (1166, 463), (1144, 440), (1100, 417), (570, 446), (356, 450)]"
1825,119892.5,"[(298, 481), (315, 523), (305, 554), (768, 593), (955, 617), (996, 620), (1170, 482), (1129, 465), (952, 458), (655, 392)]"
2451,249041.5,"[(8, 522), (574, 607), (853, 639), (1200, 687), (1206, 562), (987, 443), (835, 361), (714, 314), (572, 329), (423, 349), (291, 358), (281, 355)]"
2337,165476.0,"[(1, 531), (35, 731), (576, 627), (757, 593), (1020, 538), (1129, 522), (1013, 483), (999, 457), (941, 444), (713, 452), (352, 484)]"
1602,229435.0,"[(6, 461), (10, 528), (493, 607), (746, 626), (1035, 654), (1203, 659), (1205, 552), (1132, 504), (1078, 456), (1040, 416), (428, 371), (198, 428)]"
1616,200396.0,"[(377, 385), (165, 460), (74, 482), (17, 486), (15, 553), (112, 552), (277, 565), (400, 564), (415, 600), (730, 617), (987, 622), (1203, 621), (1207, 547), (1092, 506), (1059, 472), (947, 402)]"
1399,321400.0,"[(633, 307), (323, 355), (199, 366), (7, 372), (8, 480), (73, 527), (254, 627), (393, 698), (402, 703), (1011, 682), (1005, 641), (1025, 546), (1083, 532), (1084, 524), (1187, 504), (1196, 487), (1192, 465), (1198, 458)]"
1762,232607.5,"[(481, 383), (190, 446), (138, 450), (0, 464), (1, 521), (170, 575), (354, 615), (512, 639), (689, 680), (714, 686), (1012, 638), (1203, 602), (1143, 479), (1134, 459)]"
1978,186930.0,"[(277, 375), (199, 431), (191, 474), (127, 523), (70, 545), (11, 569), (15, 617), (285, 621), (403, 615), (603, 606), (803, 583), (920, 560), (921, 474), (941, 457), (1007, 459), (848, 393), (768, 342)]"
2040,227038.5,"[(339, 329), (232, 403), (159, 457), (63, 484), (7, 509), (12, 564), (505, 609), (701, 607), (846, 604), (933, 600), (955, 548), (1158, 536), (1138, 508), (1021, 466), (935, 381), (887, 336)]"
